Energy Band	Year	Weighted Mean	Weighted Std
3-15 keV	2003	0.1281	0.0026
3-15 keV	2004	0.1057	0.0010
3-15 keV	2006	0.1117	0.0014
3-15 keV	2008	0.1013	0.0014
3-15 keV	2009	0.1225	0.0023
3-15 keV	2010	0.1090	0.0011
3-15 keV	2011	0.1016	0.0025
3-15 keV	2012	0.1360	0.0008
3-15 keV	2013	0.1167	0.0009
3-15 keV	2014	0.1175	0.0008
3-15 keV	2015	0.1294	0.0006
3-15 keV	2016	0.1238	0.0008
3-15 keV	2017	0.1146	0.0009
3-15 keV	2018	0.1363	0.0009
3-15 keV	2019	0.1389	0.0007
3-15 keV	2020	0.1102	0.0007
3-15 keV	2021	0.0924	0.0008
3-15 keV	2022	0.1289	0.0010
3-15 keV	2023	0.1515	0.0007
3-15 keV	2024	0.1220	0.0009
3-15 keV	2025	0.1317	0.0011
15-30 keV	2003	161.5728	0.5608
15-30 keV	2004	177.7961	0.6983
15-30 keV	2005	185.7823	0.6005
15-30 keV	2006	154.5192	0.6707
15-30 keV	2007	167.7344	0.6891
15-30 keV	2008	177.9971	0.8013
15-30 keV	2009	170.1336	0.7985
15-30 keV	2010	165.8518	0.7459
15-30 keV	2011	161.7835	0.9108
15-30 keV	2012	161.8372	0.8666
15-30 keV	2013	178.8558	0.7777
15-30 keV	2014	179.2052	1.1026
15-30 keV	2015	169.7301	0.7876
15-30 keV	2016	176.4681	0.8210
15-30 keV	2017	173.8377	1.1071
15-30 keV	2018	174.9784	1.1788
15-30 keV	2019	146.7505	2.4959
15-30 keV	2023	143.1424	1.2551
15-30 keV	2024	171.6538	1.4054
15-30 keV	2025	191.3208	3.4208
30-60 keV	2003	110.6950	0.4059
30-60 keV	2004	113.7914	0.4951
30-60 keV	2005	120.0044	0.4413
30-60 keV	2006	104.4083	0.5231
30-60 keV	2007	110.3165	0.4982
30-60 keV	2008	114.2487	0.5210
30-60 keV	2009	108.4912	0.5432
30-60 keV	2010	109.0454	0.4197
30-60 keV	2011	110.3905	0.4513
30-60 keV	2012	111.8378	0.4345
30-60 keV	2013	119.0823	0.3318
30-60 keV	2014	119.6182	0.3975
30-60 keV	2015	118.4668	0.2889
30-60 keV	2016	117.7103	0.3021
30-60 keV	2017	121.7796	0.3460
30-60 keV	2018	119.6982	0.3471
30-60 keV	2019	107.2904	0.3479
30-60 keV	2020	108.4926	0.3534
30-60 keV	2021	102.8194	0.4408
30-60 keV	2022	93.3624	0.3073
30-60 keV	2023	96.6207	0.2669
30-60 keV	2024	97.6742	0.2534
30-60 keV	2025	99.9026	0.5894
